Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
47569,47569_001,47569_001_017,Syväoja,2013,2098,277,-0.57,Cohen's d,-0.81,-0.33,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_018,Syväoja,2018,135,970,-0.13,Cohen's d,-0.25,0,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_001,Adelanto-Renau,2019,410,269,-0.1,Cohen's d,-0.33,0.13,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_002,Caldas,1999,39,-999,0.05,Cohen's d,0.01,0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_003,Caldas,1999,39,-999,-0.21,Cohen's d,-0.24,-0.18,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_004,Cooper,1999,369,424,-0.26,Cohen's d,-0.45,-0.07,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_005,Ferguson,2011,808,603,0.12,Cohen's d,-0.04,0.28,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_006,Fetler,1984,104,10603,-0.3,Cohen's d,-0.34,-0.26,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_007,Keith,1986,373,28051,-0.41,Cohen's d,-0.43,-0.38,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_008,Kiatrungrit,2014,216,768,-0.02,Cohen's d,-0.16,0.12,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_009,Özmert,2002,910,689,0.22,Cohen's d,0.09,0.35,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_010,Potter,1987,27,543,-0.08,Cohen's d,-0.25,0.09,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_002,47569_002_011,Sharif,2006,e1061,-999,0.02,Cohen's d,-0.04,0.08,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
